"","x"
"722",163336.564595401
"723",216230.518654602
"724",184235.344818386
"725",180619.166614363
"726",181722.271666585
"727",204681.139675078
"728",191097.394655869
"729",238569.814163862
"730",200521.293319233
"731",196321.273697585
"732",170295.586577803
"733",233010.007664388
"734",186057.711218246
"735",205341.473532306
"736",197451.231175478
"737",190542.108482778
"738",167153.48245535
"739",160505.453588193
"740",176928.966230206
"741",184220.294154221
"742",213981.750646403
"743",162499.98980506
"744",199487.818905018
"745",188579.051596102
"746",204675.767809582
"747",207258.434781171
"748",196541.351551406
"749",174534.832923387
"750",177758.702336396
"751",181170.440329224
"752",214464.221473195
"753",212826.782998295
"754",230354.889767995
"755",210635.455138653
"756",179753.539456777
"757",174887.856762122
"758",181477.654325489
"759",220923.72943079
"760",226111.362146574
"761",183789.139715506
"762",240013.804441428
"763",268422.301935525
"764",182738.677675169
"765",185061.871470529
"766",204645.131430117
"767",177731.140418033
"768",165368.455221168
"769",207823.965921608
"770",194773.776175983
"771",165888.383346465
"772",197103.762415971
"773",193939.308892468
"774",208643.208555912
"775",171097.953832278
"776",213808.301855336
"777",172220.709292276
"778",178513.40883353
"779",213792.023069905
"780",214555.417464023
"781",215149.980057402
"782",206465.5490102
"783",161078.30785325
"784",237225.778886627
"785",218221.473843973
"786",206057.627869228
"787",188097.579465057
"788",152698.702324604
"789",218853.974273682
"790",171387.441564549
"791",181030.246244119
"792",198552.615766787
"793",183993.915295347
"794",222850.543640402
"795",175367.759726966
"796",194506.900735928
"797",187823.24636708
"798",166280.188816031
"799",204951.14848243
"800",245365.64070738
"801",178937.135278507
"802",201941.829752863
"803",215258.325944087
"804",182117.90986418
"805",211348.377658442
"806",179652.857610017
"807",213081.890995289
"808",192917.102926476
"809",202146.352637
"810",229791.440082593
"811",239405.465837816
"812",211975.038480186
"813",185830.394519754
"814",224014.044614095
"815",201701.709282307
"816",226612.449189364
"817",173589.789292696
"818",215110.772226603
"819",207555.096304697
"820",196608.167039724
"821",195806.46432081
"822",187201.072849272
"823",170175.954769826
"824",210488.113336887
"825",211000.701033969
"826",167828.142312443
"827",184773.59010665
"828",221257.467411271
"829",189060.27803635
"830",174229.553477648
"831",168770.69872144
"832",184170.934410131
"833",204282.502666085
"834",232463.595675449
"835",176775.168257714
"836",211277.410361822
"837",193684.860351645
"838",217105.864312737
"839",186649.10268409
"840",185244.271747216
"841",193179.604180901
"842",173391.617838308
"843",183011.936772102
"844",216209.146642598
"845",184988.564686567
"846",188798.380067657
"847",212998.759938454
"848",142850.605223404
"849",218753.496992639
"850",182245.422766792
"851",153033.82959276
"852",214497.997664439
"853",184452.112295409
"854",186729.560519552
"855",198989.35410541
"856",220182.089865978
"857",193192.379383901
"858",164429.597945844
"859",166237.843069569
"860",204884.527341909
"861",204187.364239017
"862",217333.500474836
"863",202044.32902508
"864",203822.331709061
"865",166924.094037158
"866",210866.635152224
"867",178678.422587609
"868",227093.099317586
