"","x"
"782",191896.294172732
"783",207763.568479343
"784",204236.128052558
"785",206963.965378739
"786",215996.095385499
"787",223017.856068604
"788",222305.945632399
"789",212762.651040932
"790",210027.265914735
"791",196204.023549737
"792",202337.861322406
"793",204100.518780124
"794",220194.966472792
"795",220778.078707622
"796",193803.353883086
"797",241854.429296968
"798",201813.605214777
"799",209088.38945414
"800",206222.725683514
"801",199922.554911798
"802",197585.049981639
"803",219393.370914713
"804",252145.182479779
"805",188362.265979523
"806",213776.753463912
"807",209554.487315038
"808",187812.791587408
"809",202735.028462491
"810",216922.473034726
"811",197011.782012855
"812",207282.376024316
"813",203723.377181466
"814",216088.012319379
"815",183188.400501762
"816",180640.765044104
"817",235300.751883726
"818",208633.11905898
"819",196775.094910777
"820",228678.674333103
"821",194852.380209093
"822",203977.37619199
"823",204734.6321495
"824",216528.525009047
"825",196856.513790765
"826",229985.077716354
"827",197100.496807191
"828",189127.942865603
"829",212789.200650178
"830",214216.796695701
"831",203279.248498519
"832",203204.577834497
"833",209689.274592952
"834",187448.980731577
"835",194666.528186736
"836",192441.86652741
"837",182637.425519469
"838",204397.869019062
"839",219552.027533671
"840",224813.408233575
"841",209122.078967031
"842",241564.488283013
"843",211164.871108497
"844",162234.90383471
"845",192896.055842509
"846",182905.283421167
"847",183813.315018723
"848",213604.453811101
"849",213769.8269267
"850",212065.647413105
"851",188052.027234129
"852",215034.928134616
"853",220903.111474026
"854",202726.111832428
"855",224500.600173568
"856",204334.882377516
"857",224588.983417925
"858",216683.430836779
"859",198992.229875905
"860",198465.105361379
"861",207731.270011987
"862",200938.883961451
"863",197267.601013958
"864",198788.074204727
"865",210967.868538731
"866",234297.579785189
"867",234792.661132102
"868",210235.803863192
"869",211266.424195172
"870",197257.067817804
"871",205993.243876884
"872",195057.718387945
"873",190991.135340079
"874",194319.848119471
"875",184602.792201812
"876",213954.195511154
"877",185036.251757389
"878",228463.087960259
"879",195842.347398826
"880",182900.85631371
"881",197305.80039111
"882",199637.563634061
"883",188661.980540376
"884",235695.084611188
"885",206747.038909709
"886",206998.81040587
"887",205954.259532034
"888",212691.712092364
"889",179552.485247985
"890",213671.145333123
"891",178988.401530785
"892",201293.095223835
"893",176041.518615574
"894",199232.782082327
"895",178453.49871421
"896",182479.527332812
"897",200374.009195486
"898",209426.541407141
"899",186425.674372532
"900",212139.118628385
"901",178568.80489298
"902",185243.583528674
"903",243026.307438601
"904",226892.932131625
"905",211126.081866823
"906",193393.109096495
"907",203179.783462843
"908",221671.13989034
"909",184631.168959561
"910",202713.721267796
"911",200665.38172391
"912",177448.254926142
"913",197277.157577939
"914",169118.906905626
"915",212048.00418049
"916",210954.014313052
"917",196973.693618555
"918",215491.569668414
"919",187386.20985066
"920",192627.189116006
"921",233310.49515413
"922",178548.587442684
"923",216101.934798185
"924",232586.084151576
"925",218255.412606575
"926",229524.026489804
"927",194495.559567096
"928",210658.323452344
"929",189484.172725664
"930",218885.930215335
"931",197168.492013808
"932",183903.3844681
"933",221631.646998818
"934",210796.052988667
"935",199299.22818445
"936",253556.312857548
"937",211121.950964795
"938",199603.372589281
"939",215224.134268785
"940",197131.318822789
"941",173534.228010366
"942",206020.323727723
"943",202656.991888427
"944",147870.68069166
"945",208635.170565199
"946",214503.845967121
"947",215471.182272593
"948",244573.186925625
"949",240531.377796731
"950",226443.218480022
"951",213990.680122268
"952",226138.851577258
"953",195953.836323288
"954",182132.432166408
"955",198085.351470817
"956",204544.518283395
"957",206532.84381072
"958",208689.648269115
"959",211704.510911341
"960",192903.403907744
"961",209324.100352096
"962",205123.588167272
"963",239940.4004902
"964",201563.070701559
"965",207156.053739956
"966",207378.217987802
"967",192075.709691822
"968",214353.530823635
"969",220178.64083356
"970",182350.848619127
"971",189978.402321324
"972",238395.381434737
"973",193945.688616568
"974",205342.272056289
"975",184550.062485698
"976",187790.055500888
"977",206155.901261379
"978",205738.553777148
"979",199051.095424436
"980",196664.983036157
"981",192170.229484205
"982",223235.03484574
"983",190261.726288587
"984",192631.605443672
"985",207238.988165655
"986",225378.885184798
"987",210372.295383432
"988",234554.911491807
"989",206548.468535035
"990",209710.20888551
"991",207935.345210352
"992",210972.613039984
"993",199608.126003456
"994",222948.423514291
"995",202691.567912664
"996",213180.304864281
"997",196571.709861526
"998",238509.310023446
"999",206025.736901943
"1000",191289.102464841
"1001",206665.740506745
"1002",212392.701646322
"1003",243247.123128749
"1004",208085.569297772
"1005",201925.310564853
"1006",168799.15632261
"1007",220697.814612161
"1008",211496.495572109
"1009",198245.057617898
"1010",219538.384552583
"1011",226643.28474667
"1012",220412.358248858
"1013",203801.551737922
"1014",209133.558588734
"1015",204204.100877697
"1016",205493.655277923
"1017",206885.256822331
"1018",231795.969382032
"1019",210535.20969891
"1020",178708.605549209
"1021",196164.082043257
"1022",206507.021533522
"1023",200005.307462006
"1024",232230.134674693
"1025",180367.896772869
"1026",184223.995046625
"1027",189009.888415001
"1028",191395.168987319
"1029",172497.975132326
"1030",214029.832156026
"1031",222399.687366794
"1032",219186.082961297
"1033",204445.038638781
"1034",191260.857282864
"1035",268119.921475263
"1036",191457.270163489
"1037",200751.131972909
"1038",186168.470559581
"1039",204499.178744474
"1040",200623.949800021
"1041",211899.321500043
"1042",202635.056345723
"1043",208112.508789496
"1044",214799.463436757
"1045",211061.905530525
"1046",227852.052146673
"1047",214936.415414006
"1048",209425.618106361
"1049",200943.758919231
"1050",195693.195191069
